datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-13 04:15:51.000,2022-09-13 04:15:49.000,20220913-040000,moose22_c2200_20220913-041549-1-93,17.558883036387254,0.6666666666660603
2022-09-13 04:15:58.000,2022-09-13 04:15:54.000,20220913-040000,moose22_c2200_20220913-041554-1-97,-210.67580104832763,0.08333333333325754
2022-09-13 04:18:24.500,2022-09-13 04:18:18.000,20220913-040000,moose22_c2200_20220913-041818-1-116,160.86892778201337,-0.10256410256400927
2022-09-13 04:18:58.000,2022-09-13 04:18:55.000,20220913-040000,moose22_c2200_20220913-041855-1-122,-405.29831803471916,0.22222222222202012
2022-09-13 04:19:47.000,2022-09-13 04:19:30.500,20220913-040000,moose22_c2200_20220913-041930-2-126,93.23487269859913,0.060606060606005485
2022-09-13 04:23:36.000,2022-09-13 04:23:33.000,20220913-040000,moose22_c2200_20220913-042333-1-161,-188.8948245506696,-0.11111111111101006
2022-09-13 04:26:32.000,2022-09-13 04:26:29.000,20220913-040000,moose22_c2200_20220913-042629-1-175,13.127433567200208,0.5555555555550502
2022-09-13 05:01:19.000,2022-09-13 05:01:13.000,20220913-050000,moose22_c2200_20220913-050113-1-1,66.77119867282404,-0.38888888888853523
2022-09-13 05:05:33.000,2022-09-13 05:05:25.000,20220913-050000,moose22_c2200_20220913-050525-1-10,-87.2542782817343,0.4166666666662877
2022-09-13 05:08:23.000,2022-09-13 05:08:20.000,20220913-050000,moose22_c2200_20220913-050820-1-40,-74.47507310768155,0.0
2022-09-13 05:08:55.000,2022-09-13 05:08:46.000,20220913-050000,moose22_c2200_20220913-050846-1-46,-53.564507656750926,0.07407407407400671
2022-09-13 05:09:10.000,2022-09-13 05:09:06.000,20220913-050000,moose22_c2200_20220913-050906-1-53,-63.623880135543565,0.7499999999993179
2022-09-13 05:09:55.000,2022-09-13 05:09:50.000,20220913-050000,moose22_c2200_20220913-050950-1-58,52.039888415517204,0.19999999999981813
2022-09-13 05:10:00.000,2022-09-13 05:09:57.000,20220913-050000,moose22_c2200_20220913-050957-1-62,30.22505111632451,9.473903143468001e-13
2022-09-13 05:16:32.000,2022-09-13 05:16:28.000,20220913-050000,moose22_c2200_20220913-051628-1-72,193.6057726084996,0.33333333333303017
2022-09-13 05:17:14.000,2022-09-13 05:17:05.000,20220913-050000,moose22_c2200_20220913-051705-1-77,-67.33329548780965,0.037037037037003354
2022-09-13 05:19:08.000,2022-09-13 05:18:54.000,20220913-050000,moose22_c2200_20220913-051854-1-94,-32.782967312541516,-0.023809523809502155
2022-09-13 05:21:05.000,2022-09-13 05:20:53.000,20220913-050000,moose22_c2200_20220913-052053-1-124,94.67310117390491,-0.16666666666651508
2022-09-13 05:21:20.000,2022-09-13 05:21:14.000,20220913-050000,moose22_c2200_20220913-052114-1-142,-88.17991227618727,0.22222222222202012
2022-09-13 06:01:11.000,2022-09-13 06:01:03.000,20220913-060000,moose22_c2200_20220913-060103-1-2,-2.744002991148877,-0.24999999999977263
2022-09-13 06:02:40.000,2022-09-13 06:02:17.500,20220913-060000,moose22_c2200_20220913-060217-2-14,87.42437302222689,0.04444444444440402
2022-09-13 06:06:15.000,2022-09-13 06:06:07.000,20220913-060000,moose22_c2200_20220913-060607-1-44,-54.891693861680004,-0.04166666666662877
2022-09-13 06:07:09.000,2022-09-13 06:07:03.000,20220913-060000,moose22_c2200_20220913-060703-1-55,-487.2142338593043,-0.5000000000000189
2022-09-13 07:02:26.000,2022-09-13 07:02:21.000,20220913-070000,moose22_c2200_20220913-070221-1-9,363.2421034028222,0.3333333333335986
2022-09-13 07:05:44.000,2022-09-13 07:05:40.000,20220913-070000,moose22_c2200_20220913-070540-1-19,-102.24514861141485,-0.5000000000016769
2022-09-13 07:07:04.000,2022-09-13 07:06:56.000,20220913-070000,moose22_c2200_20220913-070656-1-26,-62.761268168679294,0.4166666666662877
2022-09-13 07:14:06.000,2022-09-13 07:14:00.500,20220913-070000,moose22_c2200_20220913-071400-2-48,178.80306133291856,-0.18181818181801646
2022-09-13 07:20:59.500,2022-09-13 07:20:57.000,20220913-070000,moose22_c2200_20220913-072057-1-57,164.723863700609,-1.3333333333321207
2022-09-13 07:21:05.000,2022-09-13 07:21:01.000,20220913-070000,moose22_c2200_20220913-072101-1-61,152.66576059378852,-0.33333333333303017
2022-09-13 07:26:41.000,2022-09-13 07:26:32.000,20220913-070000,moose22_c2200_20220913-072632-1-72,73.2532959394998,0.0
2022-09-13 07:27:12.000,2022-09-13 07:27:01.000,20220913-070000,moose22_c2200_20220913-072701-1-83,-39.0601620814484,-0.09090909090900823
2022-09-13 07:27:22.500,2022-09-13 07:27:14.000,20220913-070000,moose22_c2200_20220913-072714-1-97,-46.22611553084965,0.11764705882308804
2022-09-13 07:27:27.000,2022-09-13 07:27:24.000,20220913-070000,moose22_c2200_20220913-072724-1-108,-40.67177916162337,-0.44444444444404024
2022-09-13 07:27:51.000,2022-09-13 07:27:29.000,20220913-070000,moose22_c2200_20220913-072729-1-112,-26.389848797294544,0.045454545454374926
2022-09-13 08:17:15.500,2022-09-13 08:16:57.500,20220913-080000,moose22_c2200_20220913-081657-2-27,11.348835774520905,-0.018518518518501677
2022-09-13 08:17:28.000,2022-09-13 08:17:20.000,20220913-080000,moose22_c2200_20220913-081720-1-36,-145.95494593122368,-0.04166666666662877
2022-09-13 08:25:40.000,2022-09-13 08:25:33.000,20220913-080000,moose22_c2200_20220913-082533-1-56,-15.949567834299106,0.09523809523800862
2022-09-13 08:25:55.000,2022-09-13 08:25:50.000,20220913-080000,moose22_c2200_20220913-082550-1-65,-59.45164323139878,-0.26666666666642413
2022-09-13 08:26:30.000,2022-09-13 08:26:11.000,20220913-080000,moose22_c2200_20220913-082611-1-71,139.68113016617895,0.0350877192982137
2022-09-13 09:10:24.000,2022-09-13 09:10:21.000,20220913-090000,moose22_c2200_20220913-091021-1-13,-61.34699756613471,-0.33333333333303017
2022-09-13 09:10:44.000,2022-09-13 09:10:39.500,20220913-090000,moose22_c2200_20220913-091039-2-18,-153.02326579811933,-0.29629629629602683
2022-09-13 09:15:40.000,2022-09-13 09:15:32.000,20220913-090000,moose22_c2200_20220913-091532-1-26,-224.5500733713024,0.12499999999988631
2022-09-13 09:25:00.000,2022-09-13 09:24:57.000,20220913-090000,moose22_c2200_20220913-092457-1-43,-45.253730563318406,-0.44444444444404024
2022-09-13 10:12:52.000,2022-09-13 10:12:49.000,20220913-100000,moose22_c2200_20220913-101249-1-29,216.7774472605244,0.33333333333303017
2022-09-13 10:14:10.000,2022-09-13 10:14:06.000,20220913-100000,moose22_c2200_20220913-101406-1-34,-793.3112255716425,0.08333333333325754
2022-09-13 10:14:31.000,2022-09-13 10:14:26.000,20220913-100000,moose22_c2200_20220913-101426-1-41,50.329788373198575,-0.13333333333321207
2022-09-13 10:15:15.000,2022-09-13 10:15:09.000,20220913-100000,moose22_c2200_20220913-101509-1-48,-93.69882307998274,-0.16666666666651508
2022-09-13 10:16:27.500,2022-09-13 10:16:25.000,20220913-100000,moose22_c2200_20220913-101625-1-62,240.38355396816087,-0.5333333333328483
2022-09-13 10:21:12.000,2022-09-13 10:21:05.000,20220913-100000,moose22_c2200_20220913-102105-1-73,-38.156371022710644,0.23809523809623961
2022-09-13 11:01:05.000,2022-09-13 11:00:55.000,20220913-110000,moose22_c2200_20220913-110055-1-1,-250.8496354234362,-0.29999999999972715
2022-09-13 11:03:00.000,2022-09-13 11:02:53.000,20220913-110000,moose22_c2200_20220913-110253-1-19,137.28430039352148,-0.14285714285701293
